timestamp,voltage,current
1667527724.6091156,5000,100
1667527733.3661702,6,100
1667527733.5026536,3171,100
1667527733.6253445,5000,90
1667527733.7464843,5000,90
1667527733.8676488,5000,90
1667527733.9915876,5000,90
1667527734.1142282,5000,90
1667527734.2846599,5000,90
1667527734.40668,5000,100
1667527734.5289543,5000,90
1667527734.6531422,5000,90
1667527734.7995648,5000,90
1667527734.9466076,5000,90
1667527735.068417,5000,90
1667527735.190936,5000,90
1667527735.313608,5000,90
1667527735.4356515,5000,90
1667527735.5569751,5000,100
1667527735.7331293,5000,90
1667527735.854919,5000,100
1667527736.0318453,5000,100
1667527736.153337,5000,90
1667527736.2736938,5000,90
1667527736.3989294,5000,90
1667527736.5483656,5000,90
1667527736.6734667,5000,90
1667527736.8134537,5000,90
1667527736.9353902,5000,90
1667527737.1096458,5000,90
1667527737.2324343,5000,90
1667527737.357468,5000,100
1667528255.9845319,5010,100
1667528256.169038,5020,90
1667528256.3593924,9510,90
1667528256.5865886,9530,90
1667528256.7710216,9510,80
1667528256.9558127,9540,90
1667528257.1641548,9560,90
1667528257.3702111,9540,90
1667528257.5529616,9540,90
1667528257.7357543,9570,90
1667528257.919829,9550,90
1667528258.1267657,9520,90
1667528258.3090231,9510,90
1667528258.512976,9500,80
1667528258.694319,9540,80
1667528258.8760672,9530,90
1667528259.0574608,9530,90
1667528259.2408338,9550,80
1667528259.469584,9510,90
1667528259.6560252,9570,90
1667528259.8386111,9550,90
1667528260.0214493,9540,90
1667528260.2056673,9570,90
1667528260.5551386,9540,90
1667528260.7380226,9570,90
1667528260.9237497,9570,90
1667528261.111364,9550,90
1667528261.340669,9570,90
1667528261.5345879,9570,90
1667528261.7665756,9550,80
1667528262.0004265,9540,80
1667528262.185122,9510,90
1667528262.3693826,9500,80
1667528262.577085,9500,80
1667528262.785998,9540,90
1667528262.9748032,9540,80
1667528263.2088754,9520,80
1667528263.3960989,9510,90
1667528263.6052623,9500,90
1667528263.8070683,9510,80
1667528264.0233085,9500,90
1667528264.2311773,9520,80
1667528264.4453206,9490,90
1667528264.6533506,9500,90
1667528264.8730655,9500,80
1667528265.0681677,9500,80
1667528265.25691,9510,90
1667528265.466077,9520,90
1667528265.6707914,9500,90
1667528265.8577452,9510,80
1667528266.0427234,9530,90
1667528266.1869028,9490,90
1667528266.324659,9510,90
1667528266.454855,9530,90
1667528266.5777063,9540,90
1667528266.7008457,9550,90
1667528266.824008,9530,80
1667528266.9706614,9530,90
1667528323.1611989,5010,90
1667528323.3432076,5010,90
1667528323.5273604,9520,80
1667528323.710909,9530,90
1667528323.9193797,9530,90
1667528324.1210783,9530,90
1667528324.3031466,9540,80
1667528324.4853427,9520,90
1667528324.6691794,9530,80
1667528324.8536973,9520,80
1667528325.059009,9530,90
1667528325.2666094,9530,90
1667528325.4476097,9520,90
1667528325.6299992,9530,90
1667528325.8142629,9500,80
1667528326.0204446,9530,90
1667528326.2264256,9520,80
1667528326.4095771,9490,90
1667528326.5917833,9490,80
1667528326.7735832,9540,90
1667528326.957594,9530,80
1667528327.1630816,9550,80
1667528327.3696132,9540,90
1667528327.5523746,9540,80
1667528327.7359138,9540,80
1667528327.9200916,9550,80
1667528328.1274993,9550,90
1667528328.3103828,9540,90
1667528328.5130842,9560,80
1667528328.6965096,9550,90
1667528328.8794975,9530,90
1667528329.0639517,9540,80
1667528329.2700694,9510,80
1667528329.4725244,9500,80
1667528329.6593206,9510,80
1667528329.848372,9510,90
1667528330.0591745,9490,80
1667528330.2567232,9500,90
1667528330.4414148,9550,90
1667528330.6237202,9500,80
1667528330.810862,9490,80
1667528331.0382817,9490,80
1667528331.2200365,9530,90
1667528331.4025655,9520,90
1667528331.5841224,9530,80
1667528331.7688584,9520,80
1667528331.9990954,9550,90
1667528332.1805713,9530,90
1667528332.363004,9540,80
1667528332.5453284,9520,90
1667528332.728775,9520,80
1667528332.9136746,9550,80
1667528333.1438408,9540,80
1667528333.3265283,9520,90
1667528333.4470046,9530,90
1667528333.569913,9530,80
1667528333.6922657,9540,90
1667528333.8152182,9510,80
1667528333.937995,9510,90
1667528334.0842903,9530,90
1667528334.2267013,9510,90
